,TOTAL Waste,Total Sold,Percentage Wasted,,Bender,,,Front St,,,King St,,,Bakerview,,,Blvd Park,,,Railroad,,,Ferndale,,,Birch Bay,,,Meridian,,,Lakeway,,,Barkley,,,College Way,,,George Hopper,,,Bellevue Square,,,Lincoln Square,,,Hotel 116,,,Bothell,,,Edmonds,,,Evergreen Way,,,Port of Everett,,,Evergreen Plaza,,,Lynden Commons,,,Meridian South,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Total Waste,Total Sold,Percentage Wasted,Total Waste,Total Sold,Percentage Wasted,Total Waste,Total Sold,Percentage Wasted,Total Waste,Total Sold,Percentage Wasted,Total Waste,Total Sold,Percentage Wasted,Total Waste,Total Sold,Percentage Wasted,Total Waste,Total Sold,Percentage Wasted,Total Waste,Total Sold,Percentage Wasted,Total Waste,Total Sold,Percentage Wasted,Total Waste,Total Sold,Percentage Wasted,Total Waste,Total Sold,Percentage Wasted,Total Waste,Total Sold,Percentage Wasted,Total Waste,Total Sold,Percentage Wasted,Total Waste,Total Sold,Percentage Wasted,Total Waste,Total Sold,Percentage Wasted,Total Waste,Total Sold,Percentage Wasted,Total Waste,Total Sold,Percentage Wasted,Total Waste,Total Sold,Percentage Wasted,Total Waste,Total Sold,Percentage Wasted,Total Waste,Total Sold,Percentage Wasted,Total Waste,Total Sold,Percentage Wasted,Total Waste,Total Sold,Percentage Wasted,Total Waste,Total Sold,Percentage Wasted,expired,,sold,expired,,sold,expired,,sold,expired,,sold,expired,,sold,expired,,sold,expired,,sold,expired,,sold,expired,,sold,
1 Day expiration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Retail Whole bean coffee,58,1246,4.45%,,0,52,0.00%,5,95,5.26%,0,0,#DIV/0!,10,27,37.04%,0,43,0.00%,0,3,0.00%,1,0,#DIV/0!,0,88,0.00%,0,43,0.00%,0,113,0.00%,1,36,2.78%,0,0,#DIV/0!,0,0,#DIV/0!,0,101,0.00%,0,26,0.00%,35,158,22.15%,0,114,0.00%,2,130,1.54%,2,21,9.52%,0,75,0.00%,0,25,0.00%,2,36,5.56%,0,60,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,"9,998","83,887",10.65%,,708,"3,671",16.17%,490,"3,511",12.25%,214,"2,283",8.57%,376,"3,221",10.45%,240,"3,056",7.28%,159,"1,057",13.08%,470,"4,426",9.60%,625,"5,171",10.78%,302,"2,777",9.81%,498,"6,251",7.38%,407,"3,572",10.23%,501,"4,148",10.78%,355,"2,437",12.71%,237,"2,345",9.18%,397,"1,808",18.00%,736,"9,355",7.29%,589,"4,450",11.69%,591,"5,625",9.51%,400,"2,144",15.72%,486,"4,811",9.18%,403,"1,827",18.07%,501,"2,537",16.49%,313,"3,404",8.42%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total less Whole Bean Coffee,"9,940","82,641",10.74%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Per item,,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TOTAL
1 Day expiration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Almond Croissant (Bear Claw),$1.99,,$797.99,,$69.65,,,$53.73,,,$9.95,,,$29.85,,,$3.98,,,$25.87,,,$33.83,,,$15.92,,,$23.88,,,$15.92,,,$41.79,,,$31.84,,,$25.87,,,$13.93,,,$33.83,,,$49.75,,,$63.68,,,$77.61,,,$37.81,,,$5.97,,,$37.81,,,$61.69,,,$33.83,,,$0.00,,,$0.00,,,$0.00,,,$0.00,,,$0.00,,,$0.00,,,$0.00,,,$0.00,,,$0.00,,,
GF Scone (Lemon blueberry/Pumpkin),$1.82,,$844.48,,$61.88,,,$58.24,,,$12.74,,,$38.22,,,$10.92,,,$10.92,,,$58.24,,,$23.66,,,$20.02,,,$69.16,,,$9.10,,,$12.74,,,$3.64,,,$18.20,,,$43.68,,,$50.96,,,$87.36,,,$74.62,,,$23.66,,,$50.96,,,$50.96,,,$34.58,,,$20.02,,,$0.00,,,$0.00,,,$0.00,,,$0.00,,,$0.00,,,$0.00,,,$0.00,,,$0.00,,,$0.00,,,$0.00
Ham and Swiss Croissant,$2.24,,$835.52,,$53.76,,,$26.88,,,$24.64,,,$17.92,,,$6.72,,,$22.40,,,$17.92,,,$29.12,,,$15.68,,,$44.80,,,$35.84,,,$62.72,,,$11.20,,,$20.16,,,$33.60,,,$78.40,,,$98.56,,,$73.92,,,$31.36,,,$31.36,,,$38.08,,,$31.36,,,$29.12,,,$0.00,,,$0.00,,,$0.00,,,$0.00,,,$0.00,,,$0.00,,,$0.00,,,$0.00,,,$0.00,,,$0.00
Peppermint Bark Cookie,$1.44,,$0.00,,$0.00,,,$0.00,,,$0.00,,,$0.00,,,$0.00,,,$0.00,,,$0.00,,,$0.00,,,$0.00,,,$0.00,,,$0.00,,,$0.00,,,$0.00,,,$0.00,,,$0.00,,,$0.00,,,$0.00,,,$0.00,,,$0.00,,,$0.00,,,$0.00,,,$0.00,,,$0.00,,,$0.00,,,$0.00,,,$0.00,,,$0.00,,,$0.00,,,$0.00,,,$0.00,,,$0.00,,,$0.00,,,$0.00
