,TOTAL Waste,Total Sold,Percentage Wasted,,Bender,,,Front St,,,King St,,,Bakerview,,,Blvd Park,,,Railroad,,,Ferndale,,,Birch Bay,,,Meridian,,,Lakeway,,,Barkley,,,College Way,,,George Hopper,,,Bellevue Square,,,Lincoln Square,,,Hotel 116,,,Bothell,,,Edmonds,,,Evergreen Way,,,Port of Everett,,,Evergreen Plaza,,,Lynden Commons,,,Meridian South,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Total Waste,Total Sold,Percentage Wasted,Total Waste,Total Sold,Percentage Wasted,Total Waste,Total Sold,Percentage Wasted,Total Waste,Total Sold,Percentage Wasted,Total Waste,Total Sold,Percentage Wasted,Total Waste,Total Sold,Percentage Wasted,Total Waste,Total Sold,Percentage Wasted,Total Waste,Total Sold,Percentage Wasted,Total Waste,Total Sold,Percentage Wasted,Total Waste,Total Sold,Percentage Wasted,Total Waste,Total Sold,Percentage Wasted,Total Waste,Total Sold,Percentage Wasted,Total Waste,Total Sold,Percentage Wasted,Total Waste,Total Sold,Percentage Wasted,Total Waste,Total Sold,Percentage Wasted,Total Waste,Total Sold,Percentage Wasted,Total Waste,Total Sold,Percentage Wasted,Total Waste,Total Sold,Percentage Wasted,Total Waste,Total Sold,Percentage Wasted,Total Waste,Total Sold,Percentage Wasted,Total Waste,Total Sold,Percentage Wasted,Total Waste,Total Sold,Percentage Wasted,Total Waste,Total Sold,Percentage Wasted,expired,,sold,expired,,sold,expired,,sold,expired,,sold,expired,,sold,expired,,sold,expired,,sold,expired,,sold,expired,,sold,
1 Day expiration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total less Whole Bean Coffee,"9,532","130,971",6.78%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Per item,,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TOTAL
1 Day expiration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Almond Croissant (Bear Claw),$1.99,,"$1,078.58",,$43.78,,,$115.42,,,$35.82,,,$57.71,,,$37.81,,,$29.85,,,$61.69,,,$33.83,,,$45.77,,,$11.94,,,$7.96,,,$29.85,,,$19.90,,,$39.80,,,$37.81,,,$85.57,,,$107.46,,,$55.72,,,$39.80,,,$25.87,,,$19.90,,,$75.62,,,$59.70,,,$0.00,,,$0.00,,,$0.00,,,$0.00,,,$0.00,,,$0.00,,,$0.00,,,$0.00,,,$0.00,,,
GF Scone (Lemon blueberry/Pumpkin),$1.82,,$778.96,,$63.70,,,$41.86,,,$23.66,,,$23.66,,,$18.20,,,$20.02,,,$36.40,,,$7.28,,,$29.12,,,$72.80,,,$16.38,,,$30.94,,,$30.94,,,$25.48,,,$20.02,,,$40.04,,,$63.70,,,$38.22,,,$54.60,,,$12.74,,,$12.74,,,$56.42,,,$40.04,,,$0.00,,,$0.00,,,$0.00,,,$0.00,,,$0.00,,,$0.00,,,$0.00,,,$0.00,,,$0.00,,,$0.00
Ham and Swiss Croissant,$2.24,,"$1,281.28",,$60.48,,,$53.76,,,$24.64,,,$29.12,,,$42.56,,,$15.68,,,$35.84,,,$69.44,,,$64.96,,,$56.00,,,$76.16,,,$80.64,,,$49.28,,,$51.52,,,$26.88,,,$80.64,,,$116.48,,,$58.24,,,$60.48,,,$71.68,,,$24.64,,,$67.20,,,$64.96,,,$0.00,,,$0.00,,,$0.00,,,$0.00,,,$0.00,,,$0.00,,,$0.00,,,$0.00,,,$0.00,,,$0.00
Traditional Croissant,$2.47,,"$1,247.35",,$69.16,,,$46.93,,,$12.35,,,$24.70,,,$49.40,,,$27.17,,,$51.87,,,$49.40,,,$49.40,,,$56.81,,,$27.17,,,$46.93,,,$56.81,,,$61.75,,,$7.41,,,$128.44,,,$118.56,,,$54.34,,,$54.34,,,$61.75,,,$71.63,,,$66.69,,,$54.34,,,$0.00,,,$0.00,,,$0.00,,,$0.00,,,$0.00,,,$0.00,,,$0.00,,,$0.00,,,$0.00,,,$0.00
White Chocolate Raspberry Scone,$2.60,,"$1,021.80",,$83.20,,,$49.40,,,$31.20,,,$41.60,,,$28.60,,,$2.60,,,$59.80,,,$33.80,,,$49.40,,,$57.20,,,$18.20,,,$41.60,,,$80.60,,,$62.40,,,$18.20,,,$67.60,,,$36.40,,,$62.40,,,$28.60,,,$26.00,,,$39.00,,,$67.60,,,$36.40,,,$0.00,,,$0.00,,,$0.00,,,$0.00,,,$0.00,,,$0.00,,,$0.00,,,$0.00,,,$0.00,,,$0.00
2 Day expiration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$0.00
Acai Bowl,$2.88,,$11.52,,$0.00,,,$0.00,,,$0.00,,,$0.00,,,$0.00,,,$0.00,,,$0.00,,,$0.00,,,$0.00,,,$0.00,,,$8.64,,,$0.00,,,$0.00,,,$0.00,,,$2.88,,,$0.00,,,$0.00,,,$0.00,,,$0.00,,,$0.00,,,$0.00,,,$0.00,,,$0.00,,,$0.00,,,$0.00,,,$0.00,,,$0.00,,,$0.00,,,$0.00,,,$0.00,,,$0.00,,,$0.00,,,
